peer_addr = 172.16.253.11:5556
test begin!

BlockID  bct  BlockSize  Priority  Deadline
         5     14139      1235         1       200
        13     14133      1435         1       200
        17     14125      1475         1       200
        25     14124      1210         1       200
        29     14124      1205         1       200
        21     14142     53910         2       200
        33     14139     53735         2       200
        37     14126      1195         1       200
         9     14250    288555         2       200
        41     14122      1255         1       200
        45     14151    171460         2       200
        49     14128      1625         1       200
        53     14124      1450         1       200
        61     14126      1240         1       200
        57     14135     53415         2       200
        65     14122      1250         1       200
        73     14125      1220         1       200
        69     14154    172580         2       200
        77     14128      1215         1       200
        81     14174    281425         2       200
        85     14181      1195         1       200
        89     14124      1195         1       200
        97     14133      1260         1       200
        93     14133     52795         2       200
       101     14124      1185         1       200
       129     14174    256815         2       200
       133     14174      1355         1       200
       113     14242      1235         1       200
       121     14224      1245         1       200
       117     14234     49390         2       200
       137     14144     45410         2       200
       125     14222      1215         1       200
       141     14125      1225         1       200
       145     14128      1265         1       200
       149     14136     64775         2       200
       153     14125      1235         1       200
       157     14125      1240         1       200
       169     14131      1225         1       200
       165     14131      1265         1       200
       173     14133     36250         2       200
       181     14125      1275         1       200
       177     14125      1285         1       200
       185     14141     62690         2       200
       189     14126      1465         1       200
       193     14129      1275         1       200
       197     14142     78415         2       200
       201     14128      1255         1       200
       205     14127      1315         1       200
       209     14155    168430         2       200
       213     14124      1255         1       200
       217     14126      1475         1       200
       221     14135     59105         2       200
       225     14124      1230         1       200
       229     14125      1240         1       200
       237     14125      1245         1       200
       241     14126      1490         1       200
       245     14132     37695         2       200
       249     14125      1245         1       200
       253     14125      1210         1       200
       257     14137     71995         2       200
       261     14129      1215         1       200
       265     14127      1235         1       200
       273     14126      1185         1       200
       269     14138     80330         2       200
       277     14124      1345         1       200
       281     14164    193685         2       200
       285     14125      1170         1       200
       289     14124      1425         1       200
       293     14140     70615         2       200
       297     14128      1390         1       200
       301     14127      1415         1       200
       305     14146    101625         2       200
       313     14207      1135         1       200
       309     15013      1130         1       200
       333     14129      1230         1       200
       325     14200      1190         1       200
       337     14141      1200         1       200
       321     14215      1205         1       200
       329     14182    123185         2       200
       345     14128      1865         1       200
       349     14126      1230         1       200
       357     14124      1160         1       200
       341     14175    198880         2       200
       353     14132     23310         2       200
       317     14300     61445         2       200
       361     14130      1195         1       200
       385     14129      1225         1       200
       373     14171      1180         1       200
       369     14191      1165         1       200
       381     14160      1220         1       200
       365     14200     44375         2       200
       393     14129      1250         1       200
       397     14129      1205         1       200
       405     14126      1240         1       200
       377     14254    120235         2       200
       409     14143     45970         2       200
       413     14128      1260         1       200
       417     14128      1240         1       200
       401     14186     59520         2       200
       453     14134      1245         1       200
       425     14220      1245         1       200
       429     14220      1225         1       200
       465     14125      1270         1       200
       473     14124      1285         1       200
       421     14315    119260         2       200
       437     14257      1270         1       200
       441     14257      1225         1       200
       477     14126      1215         1       200
       485     14125      1235         1       200
       489     14125      1250         1       200
       501     14127      1240         1       200
       497     14137      1240         1       200
       493     14151     51605         2       200
       509     14130      1280         1       200
       513     14126      1270         1       200
       517     14141     33555         2       200
       521     14126      1245         1       200
       525     14130      1280         1       200
       533     14134      1340         1       200
       505     14246    215445         2       200
       537     14133      1350         1       200
       545     14124      1280         1       200
       541     14144     45990         2       200
       549     14126      1300         1       200
       557     14137      1245         1       200
       561     14130      1255         1       200
       569     14127      1240         1       200
       565     14138     15150         2       200
       573     14131      1270         1       200
       581     14126      1265         1       200
       585     14127      1325         1       200
       589     14132     22770         2       200
       593     14128      1275         1       200
       597     14128      1260         1       200
       617     14114      1255         1       200
       605     14155      1290         1       200
       621     14116      1375         1       200
       629     14112      1410         1       200
       609     14179      1230         1       200
       633     14107      1290         1       200
       641     14105      1240         1       200
       645     14106      1245         1       200
       601     14256    143145         2       200
       613     14222     33120         2       200
       653     14105      1295         1       200
       657     14105      1310         1       200
       665     14104      1270         1       200
       677     14107      1255         1       200
       673     14107      1250         1       200
       681     14109     18405         2       200
       689     14106      1320         1       200
       685     14106      1300         1       200
       701     14109      1480         1       200
       705     14111     17820         2       200
       697     14136      1275         1       200
       713     14106      1275         1       200
       709     14128      1405         1       200
       693     14186    175755         2       200
       725     14109      1235         1       200
       721     14109      1315         1       200
       729     14117     26360         2       200
       733     14107      1270         1       200
       737     14109      1280         1       200
       717     14177    145750         2       200
       745     14107      1385         1       200
       749     14105      1295         1       200
       753     14110     15605         2       200
       757     14107      1295         1       200
       761     14107      1300         1       200
       769     14112      1310         1       200
       773     14108      1400         1       200
       765     14130     76825         2       200
       781     14110      1415         1       200
       785     14107      1255         1       200
       793     14107      1255         1       200
       789     14131     79570         2       200
       797     14108      1245         1       200
       805     14107      1210         1       200
       801     14128     72735         2       200
       809     14107      1210         1       200
       821     14123      1945         1       200
       817     14155      1215         1       200
       829     14107      1460         1       200
       833     14116      1160         1       200
       841     14107      1180         1       200
       845     14106      1175         1       200
       813     14231    175895         2       200
       853     14105      1300         1       200
       825     14224    166310         2       200
       837     14179     72440         2       200
       857     14107      1250         1       200
       877     14112      1845         1       200
       869     14134      1180         1       200
       881     14118      1150         1       200
       889     14114      1170         1       200
       893     14117      1265         1       200
       861     14233    102535         2       200
       901     14109      1220         1       200
       865     14244      1240         1       200
       905     14106      1230         1       200
       913     14111      1345         1       200
       917     14110      1200         1       200
       925     14106      1195         1       200
       873     14278    178310         2       200
       933     14108      1310         1       200
       937     14108      1285         1       200
       945     14106      1215         1       200
       949     14106      1200         1       200
       957     14109      1295         1       200
       961     14109      1315         1       200
       973     14107      1215         1       200
       969     14107      1250         1       200
       985     14107      1305         1       200
       953     14227    197350         2       200
       993     14110      1295         1       200
       997     14108      1305         1       200
       989     14144    117120         2       200
      1005     14110      1305         1       200
      1009     14111      1395         1       200
      1017     14109      1295         1       200
      1021     14113      1255         1       200
      1029     14106      1360         1       200
      1033     14109      1245         1       200
      1041     14109      1255         1       200
      1045     14107      1260         1       200
      1053     14110      1260         1       200
      1057     14110      1300         1       200
      1037     14191    198975         2       200
      1065     14108      1255         1       200
      1069     14108      1225         1       200
      1077     14109      1215         1       200
      1081     14108      1280         1       200
      1089     14119      1290         1       200
      1093     14110      1330         1       200
      1101     14111      1335         1       200
      1085     14175    204445         2       200
      1105     14108      1230         1       200
      1097     14149     96440         2       200
      1113     14124      1190         1       200
      1117     14109      1190         1       200
      1109     14134     57725         2       200
      1125     14110      1185         1       200
      1129     14119      1220         1       200
      1137     14111      1230         1       200
      1141     14109      1250         1       200
      1149     14132      1290         1       200
      1153     14108      1300         1       200
      1145     14146    137330         2       200
      1161     14120      1260         1       200
      1157     14120     43730         2       200
      1165     14108      1325         1       200
      1173     14130      1305         1       200
      1177     14110      1320         1       200
      1169     14138    122160         2       200
      1185     14141      1290         1       200
      1189     14118     38445         2       200
      1197     14108      1290         1       200
      1201     14117     39640         2       200
      1209     14110      1255         1       200
      1205     14110      1295         1       200
      1221     14109      1300         1       200
      1225     14119     40540         2       200
      1213     14167    182250         2       200
      1217     14147      1310         1       200
      1229     14109      1305         1       200
      1233     14109      1255         1       200
      1245     14111      1350         1       200
      1241     14116      1290         1       200
      1237     14133    104320         2       200
      1249     14117     42685         2       200
      1253     14110      1340         1       200
      1257     14110      1280         1       200
      1265     14111      1270         1       200
      1269     14112      1295         1       200
      1273     14119     44050         2       200
      1281     14109      1220         1       200
      1277     14116      1215         1       200
      1285     14124     90725         2       200
      1289     14112      1245         1       200
      1293     14111      1250         1       200
      1297     14121     43015         2       200
      1301     14115      1255         1       200
      1305     14109      1250         1       200
      1313     14117      1255         1       200
      1317     14121      1310         1       200
      1309     14149    117775         2       200
      1325     14108      1275         1       200
      1321     14119     47300         2       200
      1329     14108      1280         1       200
      1333     14123     93490         2       200
      1337     14112      1305         1       200
      1341     14110      1470         1       200
      1349     14117      1530         1       200
      1353     14112      1475         1       200
      1357     14111      6940         2       200
      1361     14109      1160         1       200
      1365     14109      1200         1       200
      1369     14110      5895         2       200
      1373     14110      1230         1       200
