peer_addr = 172.16.253.11:5555
test begin!

BlockID	bct	BlockSize	Priority	Deadline
5         	     14108	      1235	         1	       200
9         	     14243	    288555	         2	       200
13        	     14234	      1435	         1	       200
17        	     14212	      1475	         1	       200
21        	     14207	     53910	         2	       200
25        	     14195	      1210	         1	       200
29        	     14174	      1205	         1	       200
33        	     14175	     53735	         2	       200
37        	     14162	      1195	         1	       200
41        	     14144	      1255	         1	       200
45        	     14151	    171460	         2	       200
49        	     14137	      1625	         1	       200
53        	     14118	      1450	         1	       200
57        	     14113	     53415	         2	       200
61        	     14108	      1240	         1	       200
65        	     14108	      1250	         1	       200
69        	     14114	    172580	         2	       200
73        	     14109	      1220	         1	       200
77        	     14110	      1215	         1	       200
81        	     14117	    281425	         2	       200
85        	     14109	      1195	         1	       200
89        	     14108	      1195	         1	       200
93        	     14111	     52795	         2	       200
97        	     14108	      1260	         1	       200
101       	     14108	      1185	         1	       200
105       	     14114	    257340	         2	       200
109       	     14108	      1275	         1	       200
113       	     14109	      1235	         1	       200
117       	     14111	     49390	         2	       200
121       	     14109	      1245	         1	       200
125       	     14111	      1215	         1	       200
129       	     14119	    256815	         2	       200
133       	     14108	      1355	         1	       200
137       	     14112	     45410	         2	       200
141       	     14115	      1225	         1	       200
145       	     14108	      1265	         1	       200
149       	     14112	     64775	         2	       200
153       	     14116	      1235	         1	       200
157       	     14109	      1240	         1	       200
161       	     14125	    244720	         2	       200
165       	     14125	      1265	         1	       200
169       	     14108	      1225	         1	       200
173       	     14111	     36250	         2	       200
177       	     14113	      1285	         1	       200
181       	     14108	      1275	         1	       200
185       	     14112	     62690	         2	       200
189       	     14111	      1465	         1	       200
193       	     14108	      1275	         1	       200
197       	     14113	     78415	         2	       200
201       	     14111	      1255	         1	       200
205       	     14108	      1315	         1	       200
209       	     14113	    168430	         2	       200
213       	     14113	      1255	         1	       200
217       	     14108	      1475	         1	       200
221       	     14112	     59105	         2	       200
225       	     14109	      1230	         1	       200
229       	     14109	      1240	         1	       200
233       	     14115	    226140	         2	       200
237       	     14111	      1245	         1	       200
241       	     14109	      1490	         1	       200
245       	     14111	     37695	         2	       200
249       	     14109	      1245	         1	       200
253       	     14109	      1210	         1	       200
257       	     14112	     71995	         2	       200
